file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,47,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,70
style.css,48,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,49,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,50,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,29
style.css,51,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,5
style.css,52,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,8
style.css,53,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,7
style.css,54,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,55,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,56,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,57,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,45
style.css,58,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,5
style.css,59,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,60,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,31
style.css,61,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,8
style.css,62,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,16
style.css,63,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,17
style.css,64,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,65,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,66,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,67,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,6
style.css,68,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,17
style.css,69,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,70,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,71,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,72,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,5
style.css,73,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,9
style.css,74,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,11
style.css,75,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,22
style.css,76,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,14
style.css,77,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,35
style.css,78,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,79,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,24
style.css,80,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,17
style.css,81,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,82,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,83,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,7
style.css,84,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,19
style.css,85,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,15
style.css,86,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,87,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,17
style.css,88,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,15
style.css,89,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,70
style.css,90,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,35
style.css,91,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,92,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,93,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,17
style.css,94,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,95,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,96,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,97,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,70
style.css,98,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,99,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,100,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,10
style.css,101,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
style.css,102,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,59
style.css,103,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,11
style.css,104,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,105,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,106,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,0
style.css,107,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,18
style.css,108,css,f788d9de,Igosain08,2025-04-25,20:51:50,-07:00,2025-04-25T20:51:50-07:00,0,13
